Date,sp500,tnote
1-Jan-01,1837.37,1.0307
2-Jan-01,1785.86,1.0456
3-Jan-01,1875.56,1.0279
4-Jan-01,1855.82,1.0368
5-Jan-01,1807.13,1.0455
8-Jan-01,1804.04,1.0443
9-Jan-01,1810.98,1.0407
10-Jan-01,1828.5,1.0334
11-Jan-01,1847.37,1.0325
12-Jan-01,1835.54,1.0217
16-Jan-01,1847.13,1.0241
17-Jan-01,1851.16,1.0286
18-Jan-01,1876.94,1.0335
19-Jan-01,1869.38,1.0293
22-Jan-01,1869.89,1.0255
23-Jan-01,1894.25,1.0215
24-Jan-01,1899.71,1.02
25-Jan-01,1890.27,1.0248
26-Jan-01,1886.8,1.0227
29-Jan-01,1899.75,1.0205
30-Jan-01,1913.13,1.0267
31-Jan-01,1902.55,1.035
1-Feb-01,1913.11,1.0373
2-Feb-01,1879.69,1.032
5-Feb-01,1886.48,1.0314
6-Feb-01,1883.72,1.0309
7-Feb-01,1868.29,1.0285
8-Feb-01,1856.66,1.0308
9-Feb-01,1831.96,1.035
12-Feb-01,1853.65,1.033
13-Feb-01,1837.77,1.0322
14-Feb-01,1834.1,1.026
15-Feb-01,1849.15,1.0253
16-Feb-01,1814.22,1.0302
20-Feb-01,1782.75,1.0305
21-Feb-01,1749.86,1.0281
22-Feb-01,1746.5,1.0273
23-Feb-01,1736.82,1.0312
26-Feb-01,1767.29,1.0364
27-Feb-01,1753.88,1.0425
28-Feb-01,1729.08,1.0477
1-Mar-01,1730.92,1.0482
2-Mar-01,1721.09,1.0428
5-Mar-01,1731.42,1.0408
6-Mar-01,1748.74,1.0423
7-Mar-01,1760.36,1.0481
8-Mar-01,1764.39,1.0469
9-Mar-01,1720.71,1.0446
12-Mar-01,1646.42,1.0486
13-Mar-01,1671.19,1.0458
14-Mar-01,1628.02,1.0539
15-Mar-01,1637.61,1.0569
16-Mar-01,1605.48,1.0584
19-Mar-01,1633.81,1.0557
20-Mar-01,1594.5,1.0605
21-Mar-01,1565.98,1.0591
22-Mar-01,1559.65,1.0623
23-Mar-01,1590.7,1.0585
26-Mar-01,1608.65,1.0543
27-Mar-01,1649.79,1.044
28-Mar-01,1609.67,1.047
29-Mar-01,1602.26,1.0448
30-Mar-01,1619.54,1.0521
